Artista,Palabra,Cantidad
Javier_Batiz,UN,8
Javier_Batiz,LUGAR,2
Javier_Batiz,EN,16
Javier_Batiz,LA,14
Javier_Batiz,CIUDAD,3
Javier_Batiz,POR,7
Javier_Batiz,DONDE,3
Javier_Batiz,SALE,4
Javier_Batiz,EL,7
Javier_Batiz,SOL,5
Javier_Batiz,NACí,2
Javier_Batiz,ALLí,2
Javier_Batiz,ENTRE,2
Javier_Batiz,LLANTO,2
Javier_Batiz,DOLOR,3
Javier_Batiz,MISERIA,2
Javier_Batiz,SIN,2
Javier_Batiz,AMOR,4
Javier_Batiz,MI,6
Javier_Batiz,PADRE,1
Javier_Batiz,VOLó,1
Javier_Batiz,RECUERDO,1
Javier_Batiz,JAMáS,1
Javier_Batiz,LO,8
Javier_Batiz,CONOCí,1
Javier_Batiz,MADRE,2
Javier_Batiz,NO,6
Javier_Batiz,ERA,1
Javier_Batiz,BUENA,1
Javier_Batiz,SE,2
Javier_Batiz,FUE,1
Javier_Batiz,DEJáNDOME,1
Javier_Batiz,SUFRIR,1
Javier_Batiz,YO,6
Javier_Batiz,SOLO,2
Javier_Batiz,SIEMPRE,2
Javier_Batiz,HE,2
Javier_Batiz,ESTADO,1
Javier_Batiz,NADIE,1
Javier_Batiz,ME,1
Javier_Batiz,ESPERA,1
Javier_Batiz,AQUí,2
Javier_Batiz,CARGANDO,1
Javier_Batiz,COSAS,1
Javier_Batiz,PARA,1
Javier_Batiz,VIVIR,1
Javier_Batiz,ASí,1
Javier_Batiz,HASTA,1
Javier_Batiz,MORIR,1
Javier_Batiz,OH,1
Javier_Batiz,DILES,1
Javier_Batiz,TUS,1
Javier_Batiz,HIJOS,1
Javier_Batiz,QUE,11
Javier_Batiz,HAGAN,1
Javier_Batiz,PERDIDO,1
Javier_Batiz,RUINA,1
Javier_Batiz,PECADO,1
Javier_Batiz,CASA,1
Javier_Batiz,HAY,1
Javier_Batiz,NACE,1
Javier_Batiz,PAREZCO,1
Javier_Batiz,ESTAR,3
Javier_Batiz,DESIERTO,1
Javier_Batiz,PUES,1
Javier_Batiz,ENCUENTRO,1
Javier_Batiz,HUERTO,1
Javier_Batiz,QUISIERA,2
Javier_Batiz,MONTAñA,2
Javier_Batiz,CAMINAR,2
Javier_Batiz,MAñANA,2
Javier_Batiz,ADONDE,2
Javier_Batiz,AL,4
Javier_Batiz,VIENTO,3
Javier_Batiz,DECIRLE,8
Javier_Batiz,QUERIDO,3
Javier_Batiz,AMIGO,3
Javier_Batiz,CUANTO,4
Javier_Batiz,SIENTO,3
Javier_Batiz,ELLA,5
Javier_Batiz,TIEMPO,5
Javier_Batiz,VOY,3
Javier_Batiz,VER,3
Javier_Batiz,SI,6
Javier_Batiz,UNA,3
Javier_Batiz,CALLE,1
Javier_Batiz,SOLITARIA,1
Javier_Batiz,Tú,1
Javier_Batiz,VES,1
Javier_Batiz,MARIA,1
Javier_Batiz,DILE,1
Javier_Batiz,ESTOY,2
Javier_Batiz,BIEN,1
Javier_Batiz,PENSANDO,1
Javier_Batiz,RECORDANDO,1
Javier_Batiz,BELLA,1
Javier_Batiz,ES,1
Javier_Batiz,SOñAR,1
Javier_Batiz,CON,3
Javier_Batiz,TIJUANA,1
Javier_Batiz,RECARGADO,1
Javier_Batiz,RAMA,1
Javier_Batiz,DE,2
Javier_Batiz,VIEJO,1
Javier_Batiz,NOGAL,1
Javier_Batiz,MUCHO,1
Javier_Batiz,ESTUVIERAS,5
Javier_Batiz,AQUI,5
Javier_Batiz,TE,8
Javier_Batiz,DIRIA,3
Javier_Batiz,EXTRAñO,1
Javier_Batiz,TU,3
Javier_Batiz,CALOR,1
Javier_Batiz,CUANTAS,3
Javier_Batiz,VECES,3
Javier_Batiz,SOñADO,1
Javier_Batiz,COMO,2
Javier_Batiz,SUEñO,2
Javier_Batiz,NOCHE,4
Javier_Batiz,DíA,1
Javier_Batiz,TODO,3
Javier_Batiz,ESTO,3
Javier_Batiz,RODILLAS,1
Javier_Batiz,ENTREGABA,1
Javier_Batiz,CORAZON,1
Javier_Batiz,DARIA,1
Javier_Batiz,VIDA,1
Javier_Batiz,CANCIóN,1
Javier_Batiz,AMARIA,2
Javier_Batiz,DIA,3
Javier_Batiz,HARIA,2
Javier_Batiz,HICIERA,1
Javier_Batiz,CAMA,1
Javier_Batiz,LLENARA,1
Javier_Batiz,OLOR,1
Real_de_catorce,AZUL,10
Real_de_catorce,EN,17
Real_de_catorce,SUS,5
Real_de_catorce,OJOS,1
Real_de_catorce,REFLEJA,1
Real_de_catorce,UN,9
Real_de_catorce,HILILLO,1
Real_de_catorce,DE,23
Real_de_catorce,LUZ,1
Real_de_catorce,SU,7
Real_de_catorce,VESTIDO,1
Real_de_catorce,PERLADO,1
Real_de_catorce,NOCHE,10
Real_de_catorce,EL,17
Real_de_catorce,CIGARRO,1
Real_de_catorce,ENCENDIDO,1
Real_de_catorce,BESO,3
Real_de_catorce,CARNAL,1
Real_de_catorce,UNA,11
Real_de_catorce,COPA,1
Real_de_catorce,VINO,1
Real_de_catorce,LáGRIMA,1
Real_de_catorce,ROTA,1
Real_de_catorce,QUE,18
Real_de_catorce,RUEDA,1
Real_de_catorce,AL,3
Real_de_catorce,FINAL,1
Real_de_catorce,OHHH,1
Real_de_catorce,MúSICA,1
Real_de_catorce,LENTA,1
Real_de_catorce,RECARGADA,1
Real_de_catorce,LA,21
Real_de_catorce,TIBIA,1
Real_de_catorce,QUIMERA,1
Real_de_catorce,DESPIDIENDO,1
Real_de_catorce,ANHELO,1
Real_de_catorce,VA,1
Real_de_catorce,AUTOBúS,1
Real_de_catorce,RASGUñO,1
Real_de_catorce,MEDIA,1
Real_de_catorce,NAVEGANDO,1
Real_de_catorce,ESPERA,1
Real_de_catorce,VIUDA,1
Real_de_catorce,DEL,8
Real_de_catorce,BLUES,2
Real_de_catorce,UHOOO,3
Real_de_catorce,VOZ,3
Real_de_catorce,ENTRISTECE,2
Real_de_catorce,CANTAR,2
Real_de_catorce,RETENIENDO,2
Real_de_catorce,LECHO,2
Real_de_catorce,LAS,4
Real_de_catorce,SOMBRAS,4
Real_de_catorce,ESAS,2
Real_de_catorce,BESAN,2
Real_de_catorce,LUEGO,2
Real_de_catorce,SE,4
Real_de_catorce,VAN,2
Real_de_catorce,FOTOGRAFíA,2
Real_de_catorce,LíNEA,2
Real_de_catorce,MANO,2
