Genero,Palabra,Cantidad
Blues,UN,21
Blues,LUGAR,2
Blues,EN,42
Blues,LA,47
Blues,CIUDAD,3
Blues,POR,14
Blues,DONDE,3
Blues,SALE,4
Blues,EL,29
Blues,SOL,8
Blues,NACí,2
Blues,ALLí,2
Blues,ENTRE,2
Blues,LLANTO,2
Blues,DOLOR,4
Blues,MISERIA,2
Blues,SIN,3
Blues,AMOR,10
Blues,MI,12
Blues,PADRE,1
Blues,VOLó,1
Blues,RECUERDO,1
Blues,JAMáS,2
Blues,LO,8
Blues,CONOCí,1
Blues,MADRE,2
Blues,NO,16
Blues,ERA,5
Blues,BUENA,1
Blues,SE,6
Blues,FUE,1
Blues,DEJáNDOME,1
Blues,SUFRIR,1
Blues,YO,7
Blues,SOLO,2
Blues,SIEMPRE,2
Blues,HE,6
Blues,ESTADO,1
Blues,NADIE,1
Blues,ME,8
Blues,ESPERA,2
Blues,AQUí,3
Blues,CARGANDO,1
Blues,COSAS,1
Blues,PARA,1
Blues,VIVIR,1
Blues,ASí,1
Blues,HASTA,3
Blues,MORIR,1
Blues,OH,1
Blues,DILES,1
Blues,TUS,1
Blues,HIJOS,1
Blues,QUE,36
Blues,HAGAN,1
Blues,PERDIDO,1
Blues,RUINA,1
Blues,PECADO,1
Blues,CASA,1
Blues,HAY,2
Blues,NACE,1
Blues,PAREZCO,1
Blues,ESTAR,3
Blues,DESIERTO,1
Blues,PUES,1
Blues,ENCUENTRO,1
Blues,HUERTO,1
Blues,QUISIERA,2
Blues,MONTAñA,2
Blues,CAMINAR,2
Blues,MAñANA,2
Blues,ADONDE,2
Blues,AL,7
Blues,VIENTO,3
Blues,DECIRLE,8
Blues,QUERIDO,3
Blues,AMIGO,3
Blues,CUANTO,4
Blues,SIENTO,3
Blues,ELLA,5
Blues,TIEMPO,5
Blues,VOY,3
Blues,VER,3
Blues,SI,6
Blues,UNA,16
Blues,CALLE,3
Blues,SOLITARIA,1
Blues,Tú,8
Blues,VES,1
Blues,MARIA,1
Blues,DILE,1
Blues,ESTOY,3
Blues,BIEN,1
Blues,PENSANDO,1
Blues,RECORDANDO,1
Blues,BELLA,1
Blues,ES,1
Blues,SOñAR,1
Blues,CON,10
Blues,TIJUANA,1
Blues,RECARGADO,1
Blues,RAMA,1
Blues,DE,25
Blues,VIEJO,1
Blues,NOGAL,1
Blues,MUCHO,1
Blues,ESTUVIERAS,5
Blues,AQUI,5
Blues,TE,8
Blues,DIRIA,3
Blues,EXTRAñO,1
Blues,TU,7
Blues,CALOR,1
Blues,CUANTAS,3
Blues,VECES,3
Blues,SOñADO,1
Blues,COMO,4
Blues,SUEñO,3
Blues,NOCHE,14
Blues,DíA,1
Blues,TODO,4
Blues,ESTO,3
Blues,RODILLAS,1
Blues,ENTREGABA,1
Blues,CORAZON,1
Blues,DARIA,1
Blues,VIDA,1
Blues,CANCIóN,1
Blues,AMARIA,2
Blues,DIA,3
Blues,HARIA,2
Blues,HICIERA,1
Blues,CAMA,2
Blues,LLENARA,1
Blues,OLOR,1
Blues,AZUL,10
Blues,SUS,5
Blues,OJOS,1
Blues,REFLEJA,1
Blues,HILILLO,1
Blues,LUZ,1
Blues,SU,7
Blues,VESTIDO,1
Blues,PERLADO,1
Blues,CIGARRO,1
Blues,ENCENDIDO,1
Blues,BESO,3
Blues,CARNAL,1
Blues,COPA,1
Blues,VINO,1
Blues,LáGRIMA,1
Blues,ROTA,1
Blues,RUEDA,1
Blues,FINAL,1
Blues,OHHH,1
Blues,MúSICA,1
Blues,LENTA,1
Blues,RECARGADA,1
Blues,TIBIA,1
Blues,QUIMERA,1
Blues,DESPIDIENDO,1
Blues,ANHELO,1
Blues,VA,1
Blues,AUTOBúS,1
Blues,RASGUñO,1
Blues,MEDIA,1
Blues,NAVEGANDO,1
Blues,VIUDA,1
Blues,DEL,12
Blues,BLUES,2
Blues,UHOOO,3
Blues,VOZ,3
Blues,ENTRISTECE,2
Blues,CANTAR,2
Blues,RETENIENDO,2
Blues,LECHO,2
Blues,LAS,4
Blues,SOMBRAS,4
Blues,ESAS,2
Blues,BESAN,2
Blues,LUEGO,2
Blues,VAN,2
Blues,FOTOGRAFíA,2
Blues,LíNEA,2
Blues,MANO,2
Blues,QUIERE,2
Blues,BORRAR,2
Blues,ERAS,4
Blues,ESA,1
Blues,GOTA,1
Blues,MOJó,1
Blues,PIEL,1
Blues,ILUSIóN,1
Blues,HA,3
Blues,INUNDADO,1
Blues,AMéN,1
Blues,ANDABA,1
Blues,ORILLA,2
Blues,NADA,1
Blues,HUYENDO,1
Blues,MUNDO,4
Blues,HERIDA,1
Blues,CONVENCIDA,1
Blues,MISTERIO,1
Blues,CONDENA,1
Blues,AMAR,1
Blues,ESE,2
Blues,RAYO,2
Blues,EMANó,2
Blues,TI,2
Blues,VENENO,2
Blues,CORRE,2
Blues,DENTRO,2
Blues,SER,2
Blues,ARDIENDO,2
Blues,GINEBRA,2
Blues,TENDIDA,2
Blues,ANOCHECER,2
Blues,HORAS,4
Blues,NUEVAS,2
Blues,FRASES,2
Blues,INCENDIADAS,2
Blues,ALGO,2
Blues,MáS,2
Blues,PASIóN,2
Blues,VIENDO,1
Blues,AMANECER,1
Blues,OYENDO,1
Blues,MISMO,1
Blues,ANTIGUA,1
Blues,SOLEDAD,1
Blues,BARES,1
Blues,EMBARGO,1
Blues,HIRIéNDOME,1
Blues,FINAS,1
Blues,NOTAS,1
Blues,CUAL,1
Blues,PUñALES,1
Blues,MAL,2
Blues,TENERTE,1
Blues,Mí,2
Blues,FUEGO,1
Blues,QUEMó,1
Blues,PORVENIR,1
Blues,LARI,43
Blues,EHH,1
Blues,PASAN,2
Blues,PUEDO,2
Blues,OLVIDARLA,2
Blues,BESé,2
Blues,MANOS,2
Blues,TOQUé,2
Blues,CARNE,2
Blues,BLANDA,2
Blues,UñAS,2
Blues,ROJAS,2
Blues,RASGARON,2
Blues,VIENTRE,2
Blues,ALIENTO,2
Blues,ALCOHOL,2
Blues,EMBRIAGó,2
Blues,MUJER,3
Blues,SUCIA,3
Blues,CABARET,3
Blues,FINA,2
Blues,LADRONA,3
Blues,ESCúCHAME,3
Blues,ESTA,9
Blues,VERáS,3
Blues,OTRO,3
Blues,HOMBRE,3
Blues,SUDARé,3
Blues,CONTIGO,3
Blues,DEJARé,3
Blues,DIOS,3
Blues,ATISBE,3
Blues,CERRADURA,3
Blues,APAGO,1
Blues,VELA,1
Blues,RUEDO,1
Blues,AFUERA,1
Blues,LUNA,3
Blues,LLENA,1
Blues,ENTIENDO,1
Blues,HAGA,1
Blues,POLVO,1
Blues,SUDA,1
Blues,RELOJ,1
Blues,PUNZA,1
Blues,FIERA,1
Blues,SOY,1
Blues,NúMERO,1
Blues,OCHENTA,1
Blues,LARGA,1
Blues,FILA,1
Blues,AMANTES,1
Blues,MUCHACHO,1
Blues,SOLITARIO,1
Blues,VECINO,1
Blues,ENAMORADO,1
Blues,NEGLIYé,1
Blues,SEDA,1
Blues,NEGRA,1
Blues,BABY,52
Blues,�BAAAAAAABY,3
Blues,VUELVES,3
Blues,LOCO,3
Blues,JAUHG,1
Blues,HABIDO,2
Blues,ASESINATO,2
Blues,VIEJA,3
Blues,MATA,2
Blues,GATO,3
Blues,PUNTA,2
Blues,ZAPATO,2
Blues,POBRE,2
Blues,SABíA,2
Blues,AMABA,2
Blues,Ví,2
Blues,ENTERRABAN,2
Blues,MILANA,8
Blues,BONITA,4
Blues,PRECIOSA,4
Blues,QUé,4
Blues,SACADO,4
Blues,AY,15
Blues,LOS,4
Blues,DOS,2
Blues,MIRAMOS,1
Blues,JUNTOS,1
Blues,NOMBRES,2
Blues,ESTAMPADOS,1
Blues,MURO,2
Blues,CAMBIA,2
Blues,CALENDARIO,1
Blues,ESTE,1
Blues,�AY,6
Blues,SOMBRA,1
Blues,AROMO,1
Blues,TESTIGO,1
Blues,CUATRO,1
Blues,PIES,1
Blues,MARCADOS,1
Blues,CAMINO,2
Blues,QUERERTE,1
Blues,CLAVELITO,1
Blues,FLORECIDO,1
Blues,ESTá,1
Blues,MISMA,1
Blues,PATIO,1
Blues,BLANCO,1
Blues,LIRIO,1
Blues,RASTRO,1
Blues,PERO,1
Blues,PALOMA,1
