La_casa_del_sol_naciente, Blues, Javier_Batiz, Letras/Blues/Javier_Batiz/La_casa_del_sol_naciente.txt
La_montaña, Blues, Javier_Batiz, Letras/Blues/Javier_Batiz/La_montania.txt
Si_estuvieras_aqui, Blues, Javier_Batiz, Letras/Blues/Javier_Batiz/Si_estuvieras_aqui.txt
Azul, Blues, Real_de_catorce, Letras/Blues/Real_de_catorce/Azul.txt
Beso_de_ginebra, Blues, Real_de_catorce, Letras/Blues/Real_de_catorce/Beso_de_ginebra.txt
Mujer_sucia, Blues, Real_de_catorce, Letras/Blues/Real_de_catorce/Mujer_sucia.txt
Baby_me_vuelves_loco, Blues, Guadalupe_Plata, Letras/Blues/Guadalupe_Plata/Baby_me_vuelves_loco.txt
Calle_24, Blues, Guadalupe_Plata, Letras/Blues/Guadalupe_Plata/Calle_24.txt
Milana, Blues, Guadalupe_Plata, Letras/Blues/Guadalupe_Plata/Milana.txt
Que_he_sacado_con_quererte, Blues, Guadalupe_Plata, Letras/Blues/Guadalupe_Plata/Que_he_sacado_con_quererte.txt
Abrázame_Muy_Fuerte,Bolero,Juan Gabriel, Letras/Boleros/Juan_gabriel/Abrazame_muy_fuerte.txt
Hasta_que_te_conocí,Bolero,Juan_Gabriel, Letras/Boleros/Juan_gabriel/Hasta_que_te_conoci.txt
Buenos_dias_señor_sol,Bolero,Juan_Gabriel, Letras/Boleros/Juan_gabriel/Buenos_dias_señor_sol.txt
Amor_Eterno,Bolero,Juan_Gabriel, Letras/Boleros/Juan_gabriel/Amor_eterno.txt
Triunfamos,Bolero,Los_Panchos, Letras/Boleros/Los_panchos/Triunfamos.txt
Piel_canela,Bolero,Los_Panchos, Letras/Boleros/Los_panchos/Piel_canela.txt
Historia_de_un_amor,Bolero,Los_Panchos, Letras/Boleros/Los_panchos/HIstoria_de_un_amor.txt
Nuestro_juramento,Bolero,Julio_jaramillo, Letras/Boleros/Julio_jaramillo/Nuestro_juramento.txt
Odiame,Bolero,Julio_jaramillo, Letras/Boleros/Julio_jaramillo/Odiame.txt
El_aguacate,Bolero,Julio_jaramillo, Letras/Boleros/Julio_jaramillo/El_aguacate.txt
Si_una_vez,Cumbia,Selena, Letras\Cumbia\Selena\Si_una_vez.txt
Amor_prohibido,Cumbia,Selena, Letras\Cumbia\Selena\Amor_prohibido.txt
Como_la_flor,Cumbia,Selena, Letras\Cumbia\Selena\Como_la_flor.txt
Mil_horas,Cumbia,La_sonora_dinamita, Letras\Cumbia\La_sonora_dinamita\Mil_horas.txt
Que_nadie_sepa_mi_sufrir,Cumbia,La_sonora_dinamita, Letras\Cumbia\La_sonora_dinamita\Que_nadie_sepa_mi_sufrir.txt
Mi_cucú,Cumbia,La_sonora_dinamita, Letras\Cumbia\La_sonora_dinamita\Mi_cucu.txt
Otra_noche,Cumbia,Los_angeles_azules, Letras\Cumbia\Los_angeles_azules.txt\Otra_noche.txt
Amor_a_primera_vista,Cumbia,Los_angeles_azules, Letras\Cumbia\Los_angeles_azules.txt\Amor_a_primera_vista.txt
Como_te_voy_a_olvidar,Cumbia,Los_angeles_azules, Letras\Cumbia\Los_angeles_azules.txt\Como_te_voy_a_olvidar.txt
El_afilador,Cumbia,La_sonora_dinamita, Letras\Cumbia\La_sonora_dinamita\El_afilador.txt
Culon_culito,Hip_Hop_Rap, Cartel_de_santa, Letras\Hip_Hop_Rap\Cartel_de_santa\Culon_culito.txt
Extasis, Hip_Hop_Rap, Cartel_de_santa, Letras\Hip_Hop_Rap\Cartel_de_santa\Extasis.txt
Si_te_vienen_a_contar, Hip_Hop_Rap, Cartel_de_santa, Letras\Hip_Hop_Rap\Cartel_de_santa\Si_te_vienen_a_contar.txt
Todas_mueren_por_mi, Hip_Hop_Rap, Cartel_de_santa, Letras\Hip_Hop_Rap\Cartel_de_santa\Todas_mueren_por_mi.txt
Bzrp_music_session_vol_49, Hip_Hop_Rap, Residente, Letras\Hip_Hop_Rap\Residente\Bzrp_music_session_vol_49.txt
Rap_bruto, Hip_Hop_Rap, Residente, Letras\Hip_Hop_Rap\Residente\Rap_bruto.txt
Rene, Hip_Hop_Rap, Residente, Letras\Hip_Hop_Rap\Residente\Rene.txt
Asi_soy, Hip_Hop_Rap, Santa_fe_klan, Letras\Hip_Hop_Rap\Santa_fe_klan\Asi_soy.txt
Cuidando_el_territorio, Hip_Hop_Rap, Santa_fe_klan, Letras\Hip_Hop_Rap\Santa_fe_klan\Cuidando_el_territorio.txt
Te_ire_a_buscar, Hip_Hop_Rap, Santa_fe_klan, Letras\Hip_Hop_Rap\Santa_fe_klan\Te_ire_a_buscar.txt
